epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1990.78,0.68375,0.45431,0.9347,0.97285,1,0.98035,0.78509,0.65788,0.43665,0.81076,0.0011486,0.0011486,0.0011486
45,2036.31,0.67756,0.45104,0.92856,0.97245,1,0.9939,0.79791,0.67061,0.46031,0.81289,0.0011288,0.0011288,0.0011288
46,2081.42,0.67428,0.43895,0.93162,0.97209,1,0.97969,0.77239,0.68758,1.03746,0.82711,0.001109,0.001109,0.001109
47,2126.69,0.66713,0.45129,0.93101,0.97275,1,0.97509,0.76824,0.67912,0.45414,0.81462,0.0010892,0.0010892,0.0010892
48,2171.97,0.67967,0.4456,0.92834,0.96737,1,0.97919,0.76868,0.67483,0.54879,0.82354,0.0010694,0.0010694,0.0010694
49,2217.12,0.67409,0.43328,0.92807,0.96357,1,0.96803,0.75873,0.67821,1.42442,0.81765,0.0010496,0.0010496,0.0010496
50,2262.23,0.66587,0.44235,0.93186,0.95873,1,0.97493,0.77221,0.68642,1.62679,0.85084,0.0010298,0.0010298,0.0010298
51,2307.87,0.65199,0.42949,0.92256,0.96295,1,0.97461,0.76308,0.68951,1.17584,0.83112,0.00101,0.00101,0.00101
52,2352.74,0.64983,0.43074,0.9244,0.97268,1,0.97004,0.75817,0.68381,0.60841,0.8346,0.0009902,0.0009902,0.0009902
53,2397.32,0.64642,0.41902,0.92244,0.97061,1,0.98908,0.7858,0.67425,0.51861,0.83138,0.0009704,0.0009704,0.0009704
54,2442.07,0.63904,0.41634,0.91854,0.97253,1,0.97429,0.76609,0.7002,0.53268,0.81813,0.0009506,0.0009506,0.0009506
55,2486.75,0.64224,0.41684,0.91864,0.96763,1,0.97341,0.78781,0.67953,1.44069,0.811,0.0009308,0.0009308,0.0009308
56,2531.48,0.62072,0.40667,0.91288,0.97255,1,0.98583,0.78869,0.68999,0.586,0.83958,0.000911,0.000911,0.000911
57,2576.19,0.63643,0.40668,0.91875,0.97284,1,0.98187,0.76939,0.68131,0.41273,0.83362,0.0008912,0.0008912,0.0008912
58,2620.9,0.63515,0.4041,0.91394,0.9713,1,0.96858,0.7696,0.68243,0.94218,0.81676,0.0008714,0.0008714,0.0008714
59,2665.51,0.63027,0.40155,0.92014,0.96887,1,0.98725,0.77414,0.71883,1.30428,0.85639,0.0008516,0.0008516,0.0008516
60,2710.28,0.63195,0.39174,0.91705,0.97139,1,0.96872,0.7656,0.69022,1.13678,0.82296,0.0008318,0.0008318,0.0008318
61,2754.98,0.62011,0.40064,0.91534,0.97275,1,0.98122,0.76789,0.69947,0.52592,0.84415,0.000812,0.000812,0.000812
62,2799.71,0.61767,0.39497,0.91297,0.97268,1,0.96898,0.77137,0.67425,0.4235,0.8341,0.0007922,0.0007922,0.0007922
63,2844.5,0.62576,0.38855,0.91211,0.97262,1,0.97897,0.77881,0.69248,0.45251,0.84671,0.0007724,0.0007724,0.0007724
64,2889.17,0.63031,0.39427,0.91524,0.97272,1,0.96898,0.77469,0.68522,0.41521,0.82401,0.0007526,0.0007526,0.0007526
65,2933.84,0.62015,0.39369,0.91313,0.9726,1,0.98357,0.78641,0.68904,0.57657,0.8234,0.0007328,0.0007328,0.0007328
66,2978.69,0.60557,0.38189,0.90866,0.97272,1,0.97318,0.7748,0.67876,0.49259,0.82162,0.000713,0.000713,0.000713
67,3023.48,0.59896,0.38105,0.91268,0.97046,1,0.9755,0.77634,0.67658,0.90412,0.83174,0.0006932,0.0006932,0.0006932
68,3068.17,0.60885,0.38319,0.90751,0.97291,1,0.97837,0.76507,0.70125,0.36733,0.85833,0.0006734,0.0006734,0.0006734
69,3112.89,0.60007,0.38049,0.91352,0.97232,1,0.97164,0.79205,0.66721,0.5389,0.82406,0.0006536,0.0006536,0.0006536
70,3157.85,0.59494,0.37271,0.90677,0.9724,1,0.96858,0.77446,0.68265,0.6392,0.81654,0.0006338,0.0006338,0.0006338
71,3202.74,0.59282,0.36993,0.90937,0.97287,1,0.97084,0.78118,0.69442,0.38021,0.81923,0.000614,0.000614,0.000614
72,3247.5,0.59902,0.37386,0.90836,0.97242,1,0.96858,0.77087,0.67116,0.60738,0.82657,0.0005942,0.0005942,0.0005942
73,3292.18,0.59148,0.37264,0.90805,0.97288,1,0.96858,0.7757,0.68036,0.38673,0.83071,0.0005744,0.0005744,0.0005744
74,3336.92,0.5937,0.36917,0.90463,0.97186,1,0.96872,0.75978,0.67835,0.75238,0.81848,0.0005546,0.0005546,0.0005546
75,3381.68,0.58589,0.3703,0.90391,0.97292,1,0.97323,0.77641,0.69468,0.31359,0.81062,0.0005348,0.0005348,0.0005348
76,3426.33,0.57469,0.35676,0.89868,0.97164,1,0.96858,0.77145,0.69305,0.89462,0.80009,0.000515,0.000515,0.000515
77,3471.02,0.58397,0.35766,0.89907,0.97233,1,0.96858,0.76702,0.67939,0.83093,0.81926,0.0004952,0.0004952,0.0004952
78,3515.79,0.56519,0.35236,0.90249,0.97271,1,0.96858,0.77129,0.66648,0.4645,0.81743,0.0004754,0.0004754,0.0004754
79,3560.58,0.57392,0.35471,0.89943,0.97228,1,0.96858,0.77738,0.67458,0.74105,0.82136,0.0004556,0.0004556,0.0004556
80,3605.25,0.57754,0.35463,0.90486,0.97277,1,0.96978,0.77309,0.68245,0.38429,0.82577,0.0004358,0.0004358,0.0004358
81,3650.04,0.56243,0.34305,0.89698,0.97292,1,0.96898,0.77405,0.66968,0.32964,0.82206,0.000416,0.000416,0.000416
82,3694.85,0.56611,0.34931,0.9027,0.9729,1,0.97137,0.77415,0.68915,0.3107,0.83573,0.0003962,0.0003962,0.0003962
83,3739.68,0.56216,0.34584,0.89596,0.97279,1,0.96858,0.7708,0.67806,0.42969,0.81753,0.0003764,0.0003764,0.0003764
84,3784.58,0.55813,0.33978,0.89678,0.97233,1,0.96858,0.76392,0.69064,0.72693,0.80718,0.0003566,0.0003566,0.0003566
85,3829.23,0.55492,0.33886,0.89312,0.97287,1,0.9735,0.7795,0.67531,0.34377,0.80467,0.0003368,0.0003368,0.0003368
86,3873.86,0.55027,0.33298,0.89483,0.97284,1,0.96858,0.78046,0.68972,0.37711,0.82241,0.000317,0.000317,0.000317
87,3918.68,0.55708,0.33054,0.89687,0.97281,1,0.96858,0.76812,0.70989,0.42639,0.81966,0.0002972,0.0002972,0.0002972
88,3963.42,0.55043,0.33137,0.89249,0.97291,1,0.96858,0.77241,0.6849,0.35772,0.82601,0.0002774,0.0002774,0.0002774
89,4008.11,0.54495,0.33305,0.89303,0.97281,1,0.96858,0.77917,0.68383,0.4051,0.82623,0.0002576,0.0002576,0.0002576
90,4052.78,0.54491,0.33264,0.89444,0.97288,1,0.96872,0.76951,0.67676,0.36242,0.82259,0.0002378,0.0002378,0.0002378
91,4116.9,0.49786,0.27174,0.84518,0.97282,1,0.97084,0.76593,0.70149,0.32567,0.84204,0.000218,0.000218,0.000218
92,4161.22,0.48118,0.26292,0.84099,0.97283,1,0.97217,0.7681,0.69119,0.33299,0.82772,0.0001982,0.0001982,0.0001982
93,4205.26,0.47297,0.2561,0.84108,0.97291,1,0.96951,0.77205,0.68909,0.31804,0.8295,0.0001784,0.0001784,0.0001784
94,4249.32,0.47049,0.25196,0.83692,0.97288,1,0.96858,0.76572,0.70521,0.32873,0.83495,0.0001586,0.0001586,0.0001586
95,4293.48,0.46886,0.25142,0.83778,0.97277,1,0.96858,0.76689,0.69521,0.35271,0.83159,0.0001388,0.0001388,0.0001388
96,4337.58,0.4621,0.24776,0.83455,0.97269,1,0.96872,0.7673,0.70379,0.32608,0.83122,0.000119,0.000119,0.000119
97,4381.68,0.45949,0.24356,0.83408,0.97279,1,0.96858,0.77731,0.69853,0.32064,0.83137,9.92e-05,9.92e-05,9.92e-05
98,4425.68,0.45274,0.2393,0.83858,0.97282,1,0.96858,0.77256,0.69977,0.30609,0.82379,7.94e-05,7.94e-05,7.94e-05
99,4469.85,0.45036,0.23779,0.83394,0.97285,1,0.96858,0.76115,0.70731,0.31685,0.81672,5.96e-05,5.96e-05,5.96e-05
100,4514.06,0.44517,0.23608,0.83343,0.97281,1,0.96944,0.76545,0.70648,0.30792,0.81674,3.98e-05,3.98e-05,3.98e-05
